space,layer,held_out,detector,indist_auc,ood_auc,auc_drop
rawpca,14,toxic-chat,qda,0.8040384968199609,0.6597446670976084,0.1442938297223525
rawpca,14,toxic-chat,power_single,0.646725510980648,0.6663703943115707,-0.019644883330922736
rawpca,14,toxic-chat,power_multi,0.6361370168786693,0.5587427278603749,0.07739428901829437
rawpca,14,wildjailbreak,linear_probe,0.775711692157776,0.6109538327526132,0.16475785940516285
rawpca,14,wildjailbreak,plain_voronoi,0.7165487213942261,0.574078106852497,0.14247061454172905
rawpca,14,wildjailbreak,lda,0.7796372912355773,0.6034770615563299,0.1761602296792475
rawpca,14,wildjailbreak,qda,0.7846468233499276,0.46951219512195125,0.3151346282279764
rawpca,14,wildjailbreak,power_single,0.7165487213942261,0.574078106852497,0.14247061454172905
rawpca,14,wildjailbreak,power_multi,0.7205184767359627,0.42740998838559807,0.2931084883503646
rawpca,16,aegis-2.0,linear_probe,0.8104037267080745,0.5433766233766234,0.2670271033314511
rawpca,16,aegis-2.0,plain_voronoi,0.6854591097308489,0.4697402597402598,0.2157188499905891
rawpca,16,aegis-2.0,lda,0.8099720496894409,0.5301948051948052,0.2797772444946357
rawpca,16,aegis-2.0,qda,0.8237432712215321,0.5347402597402597,0.2890030114812724
rawpca,16,aegis-2.0,power_single,0.6854591097308489,0.4697402597402598,0.2157188499905891
rawpca,16,aegis-2.0,power_multi,0.7828669772256729,0.6723376623376622,0.11052931488801065
rawpca,16,toxic-chat,linear_probe,0.7772123525494673,0.6567954104718811,0.12041694207758624
rawpca,16,toxic-chat,plain_voronoi,0.6541734616220918,0.640150290885585,0.01402317073650683
rawpca,16,toxic-chat,lda,0.7764378975048924,0.657967032967033,0.11847086453785949
rawpca,16,toxic-chat,qda,0.8052698276799303,0.4796784098254686,0.32559141785446166
rawpca,16,toxic-chat,power_single,0.6541734616220918,0.640150290885585,0.01402317073650683
rawpca,16,toxic-chat,power_multi,0.6738717825886062,0.4747091144149968,0.19916266817360945
rawpca,16,wildjailbreak,linear_probe,0.7821778250578062,0.6494991289198606,0.13267869613794558
rawpca,16,wildjailbreak,plain_voronoi,0.7134376604486545,0.5568742740998839,0.15656338634877065
rawpca,16,wildjailbreak,lda,0.7829520983954043,0.6402439024390245,0.14270819595637974
rawpca,16,wildjailbreak,qda,0.7877680100574628,0.4647212543554007,0.3230467557020621
rawpca,16,wildjailbreak,power_single,0.7134376604486545,0.5568742740998839,0.15656338634877065
rawpca,16,wildjailbreak,power_multi,0.6768217635582962,0.429006968641115,0.24781479491718117
rawpca,18,aegis-2.0,linear_probe,0.8173431677018634,0.5783766233766234,0.23896654432524
rawpca,18,aegis-2.0,plain_voronoi,0.699266563146998,0.4694805194805195,0.22978604366647848
rawpca,18,aegis-2.0,lda,0.818718944099379,0.5637662337662338,0.25495271033314515
rawpca,18,aegis-2.0,qda,0.8267650103519669,0.5387012987012988,0.28806371165066813
rawpca,18,aegis-2.0,power_single,0.699266563146998,0.4694805194805195,0.22978604366647848
rawpca,18,aegis-2.0,power_multi,0.7501045548654244,0.7264935064935065,0.023611048371917853
rawpca,18,toxic-chat,linear_probe,0.7950176838714939,0.6559065934065934,0.13911109046490044
