space,layer,held_out,detector,indist_auc,ood_auc,auc_drop
pns,18,aegis-2.0,linear_probe,0.8092815734989648,0.568961038961039,0.2403205345379258
pns,18,aegis-2.0,plain_voronoi,0.6196174948240165,0.4538311688311688,0.1657863259928477
pns,18,aegis-2.0,lda,0.8093343685300207,0.5757142857142858,0.23362008281573488
pns,18,aegis-2.0,qda,0.8221951345755695,0.578896103896104,0.24329903067946546
pns,18,aegis-2.0,power_single,0.6196174948240165,0.4538311688311688,0.1657863259928477
pns,18,aegis-2.0,power_multi,0.6572106625258799,0.6784415584415584,-0.021230895915678505
pns,18,toxic-chat,linear_probe,0.7504240052185258,0.7048319327731092,0.04559207244541663
pns,18,toxic-chat,plain_voronoi,0.5677225178027833,0.5370475113122172,0.030675006490566092
pns,18,toxic-chat,lda,0.7526192005055445,0.7133564964447319,0.03926270406081267
pns,18,toxic-chat,qda,0.8078378112089586,0.579145119586296,0.2286926916226626
pns,18,toxic-chat,power_single,0.5677225178027833,0.5370475113122172,0.030675006490566092
pns,18,toxic-chat,power_multi,0.6801590699065014,0.43164188752424043,0.248517182382261
pns,18,wildjailbreak,linear_probe,0.7841990661267848,0.6496443089430894,0.13455475718369536
pns,18,wildjailbreak,plain_voronoi,0.6247095593943445,0.5977424506387921,0.026967108755552416
pns,18,wildjailbreak,lda,0.7825431466659043,0.6654689314750292,0.11707421519087513
pns,18,wildjailbreak,qda,0.7791058972040588,0.5465664924506388,0.23253940475341994
pns,18,wildjailbreak,power_single,0.6247095593943445,0.5977424506387921,0.026967108755552416
pns,18,wildjailbreak,power_multi,0.6318515769782264,0.6152729384436701,0.01657863853455621
pns,20,aegis-2.0,linear_probe,0.8300931677018634,0.6698051948051947,0.16028797289666863
pns,20,aegis-2.0,plain_voronoi,0.6340595238095238,0.47863636363636364,0.15542316017316016
pns,20,aegis-2.0,lda,0.833916149068323,0.6697402597402597,0.16417588932806326
pns,20,aegis-2.0,qda,0.863625258799172,0.6259090909090909,0.2377161678900811
pns,20,aegis-2.0,power_single,0.6340595238095238,0.47863636363636364,0.15542316017316016
pns,20,aegis-2.0,power_multi,0.7595165631469978,0.718961038961039,0.04055552418595876
pns,20,toxic-chat,linear_probe,0.7385493959284627,0.8259534583063995,-0.08740406237793685
pns,20,toxic-chat,plain_voronoi,0.5670489678462709,0.6291208791208791,-0.062071911274608205
pns,20,toxic-chat,lda,0.7406171008643183,0.8316499676793795,-0.09103286681506118
pns,20,toxic-chat,qda,0.8000221685420744,0.7647058823529411,0.035316286189133295
pns,20,toxic-chat,power_single,0.5670489678462709,0.6291208791208791,-0.062071911274608205
pns,20,toxic-chat,power_multi,0.7719613808708415,0.5084033613445378,0.26355801952630376
pns,20,wildjailbreak,linear_probe,0.8321153530773779,0.6708405923344947,0.16127476074288327
pns,20,wildjailbreak,plain_voronoi,0.6304885005096633,0.6275043554006968,0.002984145108966496
pns,20,wildjailbreak,lda,0.8315067749289311,0.6813298490127758,0.15017692591615528
pns,20,wildjailbreak,qda,0.8558329054702544,0.6369410569105691,0.21889184855968524
pns,20,wildjailbreak,power_single,0.6304885005096633,0.6275043554006968,0.002984145108966496
pns,20,wildjailbreak,power_multi,0.7639019762707732,0.6510961091753775,0.11280586709539564
pns,22,aegis-2.0,linear_probe,0.8026982401656315,0.6811038961038961,0.12159434406173542
pns,22,aegis-2.0,plain_voronoi,0.6361982401656314,0.5456493506493507,0.0905488895162807
pns,22,aegis-2.0,lda,0.8018659420289854,0.6866233766233766,0.11524256540560884
pns,22,aegis-2.0,qda,0.8360072463768115,0.6401948051948052,0.19581244118200625
pns,22,aegis-2.0,power_single,0.6361982401656314,0.5456493506493507,0.0905488895162807
pns,22,aegis-2.0,power_multi,0.7778488612836438,0.7915584415584416,-0.013709580274797739
pns,22,toxic-chat,linear_probe,0.7040494536855839,0.8335488041370395,-0.12949935045145555
pns,22,toxic-chat,plain_voronoi,0.5681791388073496,0.6332821590174531,-0.0651030202101035
pns,22,toxic-chat,lda,0.7028401214938029,0.8194893341952165,-0.1166492127014136
pns,22,toxic-chat,qda,0.7868811494346597,0.7644634776987718,0.022417671735887934
pns,22,toxic-chat,power_single,0.5681791388073496,0.6332821590174531,-0.0651030202101035
pns,22,toxic-chat,power_multi,0.7552580214448794,0.5664188752424046,0.18883914620247477
pns,22,wildjailbreak,linear_probe,0.8174784549596181,0.616144018583043,0.2013344363765751
pns,22,wildjailbreak,plain_voronoi,0.6480412309114496,0.6244192799070847,0.023621951004364927
pns,22,wildjailbreak,lda,0.8156604935256674,0.6156721835075494,0.199988310018118
pns,22,wildjailbreak,qda,0.836947902756153,0.6040214866434379,0.23292641611271514
pns,22,wildjailbreak,power_single,0.6480412309114496,0.6244192799070847,0.023621951004364927
pns,22,wildjailbreak,power_multi,0.8166522920555653,0.6635452961672474,0.1531069958883179
pns,24,aegis-2.0,linear_probe,0.6871469979296065,0.4407142857142857,0.24643271221532081
pns,24,aegis-2.0,plain_voronoi,0.7078064182194618,0.22798701298701296,0.4798194052324488
pns,24,aegis-2.0,lda,0.6873276397515529,0.4440909090909091,0.24323673066064377
pns,24,aegis-2.0,qda,0.8199420289855073,0.7400649350649351,0.07987709392057218
pns,24,aegis-2.0,power_single,0.7078064182194618,0.22798701298701296,0.4798194052324488
pns,24,aegis-2.0,power_multi,0.7661708074534161,0.786038961038961,-0.019868153585544834
pns,24,toxic-chat,linear_probe,0.6245706437540769,0.49127343244990307,0.13329721130417382
pns,24,toxic-chat,plain_voronoi,0.5833604282180909,0.5491677440206852,0.03419268419740562
pns,24,toxic-chat,lda,0.6252367192596217,0.4928894634776988,0.13234725578192286
pns,24,toxic-chat,qda,0.7964511646553598,0.6536845507433743,0.14276661391198553
pns,24,toxic-chat,power_single,0.5833604282180909,0.5491677440206852,0.03419268419740562
pns,24,toxic-chat,power_multi,0.777151792509241,0.5811651583710407,0.1959866341382004
pns,24,wildjailbreak,linear_probe,0.6963293517248937,0.46541085946573746,0.23091849225915628
pns,24,wildjailbreak,plain_voronoi,0.5732209234774328,0.2775479094076655,0.2956730140697673
pns,24,wildjailbreak,lda,0.6964408641603222,0.46374128919860624,0.232699574961716
pns,24,wildjailbreak,qda,0.82372323076135,0.6700783972125435,0.15364483354880654
pns,24,wildjailbreak,power_single,0.5732209234774328,0.2775479094076655,0.2956730140697673
pns,24,wildjailbreak,power_multi,0.8196596532859687,0.5881968641114982,0.2314627891744705
pns,26,aegis-2.0,linear_probe,0.7294648033126293,0.6126623376623376,0.11680246565029173
pns,26,aegis-2.0,plain_voronoi,0.696631469979296,0.2268181818181818,0.46981328816111423
pns,26,aegis-2.0,lda,0.7282971014492754,0.6287012987012986,0.09959580274797675
pns,26,aegis-2.0,qda,0.8546873706004142,0.7335064935064934,0.12118087709392078
pns,26,aegis-2.0,power_single,0.696631469979296,0.2268181818181818,0.46981328816111423
pns,26,aegis-2.0,power_multi,0.8091765010351967,0.81512987012987,-0.005953369094673366
pns,26,toxic-chat,linear_probe,0.7058316006197,0.5769230769230769,0.1289085236966231
pns,26,toxic-chat,plain_voronoi,0.6186608162100458,0.4201680672268907,0.19849274898315505
pns,26,toxic-chat,lda,0.7076022810665362,0.5841548157724628,0.12344746529407347
pns,26,toxic-chat,qda,0.8140717581267667,0.6941661279896574,0.11990563013710931
pns,26,toxic-chat,power_single,0.6186608162100458,0.4201680672268907,0.19849274898315505
pns,26,toxic-chat,power_multi,0.763369244672755,0.6408775048480931,0.12249173982466188
pns,26,wildjailbreak,linear_probe,0.7320003958974384,0.5904834494773519,0.1415169464200865
pns,26,wildjailbreak,plain_voronoi,0.623023957552806,0.32248112659698025,0.3005428309558258
pns,26,wildjailbreak,lda,0.7326446226843276,0.601517131242741,0.13112749144158664
pns,26,wildjailbreak,qda,0.8228373159344947,0.7537383855981417,0.06909893033635306
pns,26,wildjailbreak,power_single,0.623023957552806,0.32248112659698025,0.3005428309558258
pns,26,wildjailbreak,power_multi,0.788022802024676,0.6096835075493612,0.17833929447531482
pns,28,aegis-2.0,linear_probe,0.7066837474120082,0.678896103896104,0.027787643515904237
pns,28,aegis-2.0,plain_voronoi,0.6545238095238094,0.22681818181818184,0.4277056277056276
pns,28,aegis-2.0,lda,0.7081630434782609,0.68487012987013,0.023292913608130905
pns,28,aegis-2.0,qda,0.847820910973085,0.7683116883116882,0.07950922266139682
pns,28,aegis-2.0,power_single,0.6545238095238094,0.22681818181818184,0.4277056277056276
pns,28,aegis-2.0,power_multi,0.7949523809523809,0.7109090909090909,0.08404329004328992
pns,28,toxic-chat,linear_probe,0.6918285564796695,0.620838720103426,0.07098983637624345
