model,layer,frame,delta,null_mean,null_sd,null_lo,null_hi,z_vs_null,p_two_sided,p_floor,draws,delta_lo,delta_hi,delta_se,sign_stability,p_holm
Llama-3.1-8B-Instruct,14,pns,1.2210591380661115,-0.0002881292479920135,0.0509133456942562,-0.10186565731609232,0.10068552458486481,23.98874500702652,9.999000099990002e-05,9.999000099990002e-05,10000,1.1407066001424377,1.2932773199763468,0.038828124066040186,1.0,0.0015998400159984002
Llama-3.1-8B-Instruct,16,pns,1.1345008208994216,-3.213202426094579e-05,0.05048181219751648,-0.0995093611839631,0.09979020075974834,22.47409321370395,9.999000099990002e-05,9.999000099990002e-05,10000,1.0354707215893906,1.224375959148295,0.04870337161789506,1.0,0.0015998400159984002
Llama-3.1-8B-Instruct,18,pns,1.0947957998625342,0.0005397412646577385,0.05212168921315607,-0.10025800485992943,0.10301605904443993,20.994255464799377,9.999000099990002e-05,9.999000099990002e-05,10000,0.9723829419718942,1.2050312040100128,0.05957688489545713,1.0,0.0015998400159984002
Llama-3.1-8B-Instruct,20,pns,0.7850229531252096,0.0006248655708447739,0.048474153796970204,-0.09375822034438287,0.09598598036084525,16.181779899443907,9.999000099990002e-05,9.999000099990002e-05,10000,0.6254777473123863,0.9274107163952693,0.07637610688452544,1.0,0.0015998400159984002
Llama-3.1-8B-Instruct,22,pns,0.8029450075150533,0.0007654381780325763,0.05269939337091197,-0.104067511344688,0.10535721048899735,15.221798924535493,9.999000099990002e-05,9.999000099990002e-05,10000,0.6512918669091204,0.9392142637955708,0.07355151050989342,1.0,0.0015998400159984002
Llama-3.1-8B-Instruct,24,pns,1.011368521858851,0.0006241201757386017,0.052439426611547955,-0.10095221703664801,0.10441845533282992,19.27451284260479,9.999000099990002e-05,9.999000099990002e-05,10000,0.8702821689535378,1.1362724559049022,0.06821064385107518,1.0,0.0015998400159984002
Llama-3.1-8B-Instruct,26,pns,1.1970780536453538,0.00035330934654205926,0.053507388551882216,-0.10351704077559594,0.10504378134325652,22.365598035838264,9.999000099990002e-05,9.999000099990002e-05,10000,1.0808619429591173,1.3069177799334784,0.057713514095593464,1.0,0.0015998400159984002
Llama-3.1-8B-Instruct,28,pns,0.6484531840759487,0.00035504260835060266,0.04717677530153133,-0.09132265381365264,0.09301104166748399,13.737652421668615,9.999000099990002e-05,9.999000099990002e-05,10000,0.4464238475011988,0.8231417502385479,0.09624048858657842,1.0,0.0015998400159984002
Llama-3.1-8B-Instruct,30,pns,1.1536731216015377,0.0007131508340901442,0.05353585620033111,-0.10284453445401413,0.10686259340742976,21.536219883232516,9.999000099990002e-05,9.999000099990002e-05,10000,1.0207776349575928,1.2765136383538325,0.06500297785128807,1.0,0.0015998400159984002
Llama-3.1-8B-Instruct,32,pns,0.9682598629953101,0.0004529685725532781,0.050646176530331495,-0.09790482859696323,0.10086931037413567,19.109179818206943,9.999000099990002e-05,9.999000099990002e-05,10000,0.810155022979628,1.1051443323740713,0.07495718535115052,1.0,0.0015998400159984002
Mistral-7B-Instruct-v0.3,2,pns,0.235056560805033,1.1265193714432153e-05,0.05070382806631638,-0.10010517098215159,0.10034164212406868,4.635651874329861,9.999000099990002e-05,9.999000099990002e-05,10000,0.13656814818403382,0.32998168517455206,0.0489649578898861,1.0,0.0015998400159984002
Mistral-7B-Instruct-v0.3,4,pns,-0.3281037941947874,0.00046923552827241206,0.050004000441057996,-0.09861357093571327,0.0979712012608633,-6.570934861708993,9.999000099990002e-05,9.999000099990002e-05,10000,-0.42411482196629685,-0.22980717184167795,0.05010544756980797,1.0,0.0015998400159984002
Mistral-7B-Instruct-v0.3,6,pns,-0.3660913256231597,0.00015697648790573987,0.0491527133668472,-0.09662525341008496,0.09728165906722863,-7.451232638523974,9.999000099990002e-05,9.999000099990002e-05,10000,-0.4613496527580759,-0.27271928228533643,0.04837493193183405,1.0,0.0015998400159984002
Mistral-7B-Instruct-v0.3,8,pns,-0.4774817982393279,8.725163757517394e-05,0.05366987068242808,-0.10559488715746009,0.10335582741004466,-8.89827092565108,9.999000099990002e-05,9.999000099990002e-05,10000,-0.5848928745911537,-0.3726506257618811,0.0538117345948006,1.0,0.0015998400159984002
Mistral-7B-Instruct-v0.3,10,pns,-0.3908631391738598,-7.221324567707106e-05,0.048865824827713726,-0.09628410967245415,0.0939630868608042,-7.99722356689966,9.999000099990002e-05,9.999000099990002e-05,10000,-0.4934699134583246,-0.29198013755479985,0.05139151701173874,1.0,0.0015998400159984002
Mistral-7B-Instruct-v0.3,12,pns,-0.5414250615701212,-0.0002417671025848513,0.04828157687991652,-0.09448138562482376,0.09327192832697598,-11.208898495870171,9.999000099990002e-05,9.999000099990002e-05,10000,-0.6479347376673718,-0.4394715572397698,0.052882031676084365,1.0,0.0015998400159984002
Mistral-7B-Instruct-v0.3,14,pns,-0.7520235959029056,-0.00012837993928281198,0.04909673740012418,-0.09703375209387997,0.09541661682161846,-15.314565809860127,9.999000099990002e-05,9.999000099990002e-05,10000,-0.861189558793212,-0.6462556650645009,0.055036323983224056,1.0,0.0015998400159984002
Mistral-7B-Instruct-v0.3,16,pns,-1.0655455948247217,-0.00010242602159390673,0.04795964012019224,-0.09438010294452345,0.09324365379881985,-22.215412086767284,9.999000099990002e-05,9.999000099990002e-05,10000,-1.1744798444349362,-0.9597516609228636,0.05490711978647262,1.0,0.0015998400159984002
Mistral-7B-Instruct-v0.3,18,pns,0.1328349048465677,0.0008323399934401725,0.03789429431928801,-0.07415859688807372,0.07445619990969327,3.483441695493954,0.0006999300069993001,9.999000099990002e-05,10000,-0.004157523607775688,0.2623624184829324,0.06851426871811213,0.972,0.0027997200279972004
Mistral-7B-Instruct-v0.3,20,pns,0.06765500845968214,0.0005687147562422035,0.03698680383920807,-0.0715460685849241,0.07187318376013142,1.8137899666887338,0.06629337066293371,9.999000099990002e-05,10000,-0.06300522823344705,0.18849406697139037,0.0643332987219895,0.8464,0.13258674132586742
Mistral-7B-Instruct-v0.3,22,pns,0.01471022749173982,0.0004757787730760871,0.037620345080870934,-0.0721564671608199,0.07295114393864559,0.3783710300387866,0.702029797020298,9.999000099990002e-05,10000,-0.11298668995005241,0.13742023849349388,0.06445017739743691,0.5778,0.702029797020298
Mistral-7B-Instruct-v0.3,24,pns,-0.09896383972653994,0.0005910297302738059,0.03893130995694691,-0.0744650336555509,0.07695036975900296,-2.5571929012126438,0.0112988701129887,9.999000099990002e-05,10000,-0.23450204781695363,0.034944875871010535,0.06865070723308857,0.9285,0.0338966103389661
Mistral-7B-Instruct-v0.3,26,pns,-0.2930691127007252,0.0007269610055567053,0.041997609892618915,-0.0801026565169415,0.08267449733284078,-6.995542709632069,9.999000099990002e-05,9.999000099990002e-05,10000,-0.43164984278194535,-0.15216409257400312,0.07146181885891871,1.0,0.0015998400159984002
Mistral-7B-Instruct-v0.3,28,pns,-0.44113112227252166,0.0008489014185577853,0.04374796343357714,-0.08431245395112241,0.08696640565393539,-10.102870831053451,9.999000099990002e-05,9.999000099990002e-05,10000,-0.5846833325403313,-0.2941951093092662,0.07418176374865804,1.0,0.0015998400159984002
Mistral-7B-Instruct-v0.3,30,pns,-0.8147772530768828,0.000947560709392528,0.049966570158357565,-0.09602468748668391,0.09947114649741547,-16.32541139407854,9.999000099990002e-05,9.999000099990002e-05,10000,-0.9597399851300961,-0.6590258073967907,0.07670588400282577,1.0,0.0015998400159984002
Mistral-7B-Instruct-v0.3,32,pns,-0.8373664120148122,0.0008985691143831801,0.04892508106666975,-0.09483973370246472,0.09722645674384418,-17.133645215363046,9.999000099990002e-05,9.999000099990002e-05,10000,-0.982136885845695,-0.6855158792831817,0.07571612607059984,1.0,0.0015998400159984002
