model,frame,layer,pair,dims,d_mean,d_disp,d_bhattacharyya,rho,error_upper,error_lower,log_trace_ratio,n_a,n_b,rho_lo,rho_hi,rho_se,d_bhattacharyya_lo,d_bhattacharyya_hi,d_bhattacharyya_se,draws_used,err_logistic,err_lda,err_qda,err_best,best_detector,below_floor,above_ceiling,log_trace_R_over_B
Llama-3.1-8B-Instruct,pns,8,Jailbreak_vs_Benign,9,0.18445585559912442,0.20807771785499618,0.3925335734541206,0.5300889705407997,0.33767183617608254,0.13124841552411887,0.06443660511223229,500,500,0.48148462273834586,0.6180045341125739,0.03280528013441807,0.34978391769487344,0.5028500109961975,0.039980711550082385,600,0.278,0.2749999999999999,0.278,0.2749999999999999,err_lda,False,False,-0.53370673729438
Llama-3.1-8B-Instruct,pns,8,Jailbreak_vs_Refusal,9,0.09431880801361046,0.1515813963203474,0.24590020433395787,0.6164346090354776,0.39100013063424327,0.18836094942384912,0.5981433424066125,500,500,0.5518868359918135,0.7192074873279454,0.042744648293212034,0.2207465676385443,0.339370141308268,0.030109202673245485,600,0.33000000000000007,0.33299999999999996,0.2769999999999999,0.2769999999999999,err_qda,False,False,-0.53370673729438
Llama-3.1-8B-Instruct,pns,10,Jailbreak_vs_Benign,9,0.19449578252285388,0.29024830362362763,0.4847440861464815,0.5987660539213252,0.30792739118490964,0.10607015629930294,0.13727318349760528,500,500,0.5471085490507306,0.6708367409275318,0.030358963234521464,0.430463480235492,0.6010111413005776,0.04315809665449694,600,0.28300000000000003,0.28300000000000003,0.263,0.263,err_qda,False,False,-0.49806419922995143
Llama-3.1-8B-Instruct,pns,10,Jailbreak_vs_Refusal,9,0.1249988274014527,0.1542742758257205,0.2792731032271732,0.5524136554612169,0.37816665896841556,0.17290677468852084,0.6353373827275568,500,500,0.4899418314455762,0.6710885179789221,0.04528821427819649,0.25441283986881,0.3783927418125568,0.03127831813548223,600,0.31699999999999995,0.31100000000000005,0.254,0.254,err_qda,False,False,-0.49806419922995143
Llama-3.1-8B-Instruct,pns,12,Jailbreak_vs_Benign,9,0.06777648965918198,0.3798859498895233,0.44766243954870527,0.8485991147090464,0.3195601946950716,0.11544664613808403,0.5122172993086738,500,500,0.7975444489900032,0.8881032238098818,0.02331535367095536,0.3976083455639763,0.5697711396815608,0.04490741500079099,600,0.367,0.3700000000000001,0.2470000000000001,0.2470000000000001,err_qda,False,False,0.7405301926037571
Llama-3.1-8B-Instruct,pns,12,Jailbreak_vs_Refusal,9,0.16518504811546403,0.09963218651823169,0.2648172346336957,0.3762299937013025,0.3836730907333367,0.1793834697849645,-0.22831289329508345,500,500,0.34079037666733103,0.5162507607585773,0.04573137381912737,0.2434252752402173,0.36678030083716373,0.03147021983401761,600,0.258,0.259,0.262,0.258,err_logistic,False,False,0.7405301926037571
Llama-3.1-8B-Instruct,pns,14,Jailbreak_vs_Benign,9,0.06489702952831583,0.3893121788541052,0.454209208382421,0.8571208413862103,0.3174749412559152,0.11372333532226775,0.5865979141554558,500,500,0.8165676204476124,0.891587762232511,0.019585092993641123,0.39902937849144066,0.569269879512872,0.04136930692260036,600,0.35399999999999987,0.3560000000000001,0.2490000000000001,0.2490000000000001,err_qda,False,False,1.2210591380661115
Llama-3.1-8B-Instruct,pns,14,Jailbreak_vs_Refusal,9,0.09608031468882819,0.250036414201265,0.34611672889009315,0.7224048805819561,0.3537149523895601,0.14660824506498282,-0.6344612239106556,500,500,0.6720332735375977,0.7955900850368396,0.03163819501346489,0.3125717649586777,0.45181603588220554,0.036279254836884385,600,0.30999999999999994,0.30800000000000005,0.277,0.277,err_qda,False,False,1.2210591380661115
Llama-3.1-8B-Instruct,pns,16,Jailbreak_vs_Benign,9,0.09284694258154236,0.394134144447829,0.4869810870293714,0.8093417895386511,0.3072393272257377,0.10553327668119317,0.537002064791076,500,500,0.7629123145000901,0.8507450792916454,0.022014510426643343,0.4316916308087571,0.6071777456866836,0.044070994663757704,600,0.32599999999999996,0.33399999999999996,0.2460000000000001,0.2460000000000001,err_qda,False,False,1.1345008208994218
Llama-3.1-8B-Instruct,pns,16,Jailbreak_vs_Refusal,9,0.10878148288441289,0.36363638479167193,0.47241786767608485,0.7697346135116986,0.31174646046856697,0.10908550246208543,-0.5974987561083459,500,500,0.7179007218058922,0.8269637888233918,0.027403806660597003,0.42095407810325164,0.6080845446313959,0.04779462841607431,600,0.29799999999999993,0.30199999999999994,0.253,0.253,err_qda,False,False,1.1345008208994218
