model,layer,frame,pair,rho_before,rho_after,rho_delta,d_b_before,d_b_after,d_b_retained,d_mean_before,d_mean_after,d_disp_before,d_disp_after,delta_before,delta_after,frame_variance_removed
Qwen2.5-3B-Instruct,30,pns,Jailbreak_vs_Refusal,0.7025990005445275,0.9189367700360452,0.21633776949151773,0.5502223064701817,0.3124815516966652,0.5679187267076014,0.16363666386692732,0.025330763884680193,0.38658564260325434,0.287150787811985,1.0024475744839012,-0.5388497301559042,0.7948364346916144
Qwen2.5-3B-Instruct,32,pns,Jailbreak_vs_Benign,0.7671194560516238,0.6535294169316085,-0.11359003912001531,0.4109384252515298,0.26034572288798874,0.633539496163287,0.09569956400186538,0.0902021344083633,0.3152388612496644,0.1701435884796254,1.3745824921008492,-0.5134110771228203,0.8081334924496861
Qwen2.5-3B-Instruct,32,pns,Jailbreak_vs_Refusal,0.8223047657490625,0.9158194726560379,0.09351470690697539,0.5681173833907018,0.3979513438549799,0.7004738025791115,0.10095175152364047,0.03349975398295057,0.4671656318670614,0.3644515898720293,1.3745824921008492,-0.5134110771228203,0.8081334924496861
Qwen2.5-3B-Instruct,34,pns,Jailbreak_vs_Benign,0.7620133216263044,0.6439600344589327,-0.11805328716737173,0.47820649348470634,0.29328536286399404,0.6133027611708365,0.11380677496115757,0.10442131048779586,0.3643997185235488,0.1888640523761982,1.50775035819018,-0.3082046236386433,0.797251196917149
Qwen2.5-3B-Instruct,34,pns,Jailbreak_vs_Refusal,0.827847746541954,0.9237864637875886,0.09593871724563452,0.610292255012564,0.41953376182727026,0.6874309126184689,0.10506318696840528,0.03197415154935184,0.5052290680441587,0.3875596102779184,1.50775035819018,-0.3082046236386433,0.797251196917149
Qwen2.5-3B-Instruct,36,pns,Jailbreak_vs_Benign,0.6010887470259704,0.5885585469073311,-0.012530200118639256,0.3612640418402414,0.30171155167692165,0.835155223697422,0.14411229158495295,0.12413663923679655,0.21715175025528843,0.17757491244012513,0.6035151132956645,-0.15023764415961235,0.7753098343212872
Qwen2.5-3B-Instruct,36,pns,Jailbreak_vs_Refusal,0.6228696668187829,0.9047582358787887,0.2818885690600058,0.6290351093566211,0.37588911077680387,0.5975645956570919,0.23722822037434593,0.03580034202433626,0.3918068889822752,0.34008876875246763,0.6035151132956645,-0.15023764415961235,0.7753098343212872
Llama-3.1-8B-Instruct,2,pns,Jailbreak_vs_Benign,0.6221082891311911,0.6234560480270572,0.0013477588958661357,0.2986578096551581,0.24192474328531044,0.8100399034086742,0.11286031065491874,0.09109529891669044,0.18579749900023934,0.15082944436862,-0.5628970520870927,-0.4794390802535025,0.682437110773782
Llama-3.1-8B-Instruct,2,pns,Jailbreak_vs_Refusal,0.8192671731109187,0.8190941143648954,-0.0001730587460232469,0.17149126913319512,0.15198727512312182,0.8862682974552787,0.03099410185723861,0.02749539261141465,0.1404971672759565,0.12449188251170717,-0.5628970520870927,-0.4794390802535025,0.682437110773782
Llama-3.1-8B-Instruct,4,pns,Jailbreak_vs_Benign,0.6621243002628199,0.6860138198392652,0.02388951957644536,0.3712216093989844,0.3223856962580439,0.8684453924435949,0.12542676103324402,0.10122465330652207,0.2457948483657404,0.22116104295152184,-0.5708169565019526,-0.34673095687626115,0.6877499368438844
Llama-3.1-8B-Instruct,4,pns,Jailbreak_vs_Refusal,0.7584092691442387,0.7735762081137482,0.015166938969509491,0.1719606400301922,0.14682003761517892,0.8538002509725529,0.041544096703318635,0.03324354964171095,0.13041654332687358,0.11357648797346798,-0.5708169565019526,-0.34673095687626115,0.6877499368438844
Llama-3.1-8B-Instruct,6,pns,Jailbreak_vs_Benign,0.6056323169074346,0.7345505974119331,0.1289182805044985,0.3609559273113628,0.25334387286177174,0.7018692690513315,0.1423493527523106,0.0672499797005045,0.2186065745590522,0.18609389316126723,-0.45358426383073386,-0.4984125327470901,0.04144874564787726
Llama-3.1-8B-Instruct,6,pns,Jailbreak_vs_Refusal,0.7523763285853283,0.8739313546630977,0.12155502607776936,0.20512568588824093,0.14745311133711525,0.7188427460881347,0.05079397544109894,0.018589213996981532,0.154331710447142,0.1288638973401337,-0.45358426383073386,-0.4984125327470901,0.04144874564787726
Llama-3.1-8B-Instruct,8,pns,Jailbreak_vs_Benign,0.5300889705407997,0.7372649914623497,0.20717602092154996,0.3925335734541206,0.24276115894369354,0.6184468676335211,0.18445585559912442,0.0637818551676812,0.20807771785499618,0.17897930377601234,-0.5337067372943802,-0.5660762153628132,0.040906934220059865
Llama-3.1-8B-Instruct,8,pns,Jailbreak_vs_Refusal,0.6164346090354776,0.880426999190596,0.26399239015511833,0.24590020433395787,0.14000358957535258,0.5693512535077574,0.09431880801361046,0.016740649329613118,0.1515813963203474,0.12326294024573947,-0.5337067372943802,-0.5660762153628132,0.040906934220059865
Llama-3.1-8B-Instruct,10,pns,Jailbreak_vs_Benign,0.5987660539213252,0.8164266308200867,0.2176605768987615,0.4847440861464815,0.2825469035622271,0.5828784953486698,0.19449578252285388,0.05186808703827003,0.29024830362362763,0.23067881652395705,-0.4980641992299518,-0.5138072738827935,0.09229014713258354
Llama-3.1-8B-Instruct,10,pns,Jailbreak_vs_Refusal,0.5524136554612169,0.8821974000895428,0.32978374462832594,0.2792731032271732,0.12549611115007067,0.4493669805644926,0.1249988274014527,0.014783768172130046,0.1542742758257205,0.11071234297794064,-0.4980641992299518,-0.5138072738827935,0.09229014713258354
Llama-3.1-8B-Instruct,12,pns,Jailbreak_vs_Benign,0.8485991147090464,0.7899430261591981,-0.05865608854984827,0.44766243954870527,0.3225948905118944,0.7206208562798049,0.06777648965918198,0.06776330647743337,0.3798859498895233,0.25483158403446105,0.7405301926037569,-0.1967266111660619,0.7501068223153013
Llama-3.1-8B-Instruct,12,pns,Jailbreak_vs_Refusal,0.3762299937013025,0.8134674198175986,0.4372374261162961,0.2648172346336957,0.104506701573351,0.39463708515009704,0.16518504811546403,0.019493904690829386,0.09963218651823169,0.08501279688252161,0.7405301926037569,-0.1967266111660619,0.7501068223153013
Llama-3.1-8B-Instruct,14,pns,Jailbreak_vs_Benign,0.8571208413862103,0.8936176666226745,0.03649682523646425,0.454209208382421,0.27198438732965174,0.5988086157439916,0.06489702952831583,0.028934333766330624,0.3893121788541052,0.2430500535633211,1.2210591380661115,-0.30216096661073905,0.7713002947699962
Llama-3.1-8B-Instruct,14,pns,Jailbreak_vs_Refusal,0.7224048805819561,0.9523771976823979,0.22997231710044186,0.34611672889009315,0.16982543051602714,0.49065941152458414,0.09608031468882819,0.008087562905966442,0.250036414201265,0.1617378676100607,1.2210591380661115,-0.30216096661073905,0.7713002947699962
Llama-3.1-8B-Instruct,16,pns,Jailbreak_vs_Benign,0.8093417895386511,0.8148514351201107,0.00550964558145961,0.4869810870293714,0.32539899373898246,0.6681963682079436,0.09284694258154236,0.060247156704132644,0.394134144447829,0.2651518370348498,1.1345008208994216,-0.4840299554512632,0.7655970157658886
Llama-3.1-8B-Instruct,16,pns,Jailbreak_vs_Refusal,0.7697346135116986,0.9221739538086048,0.1524393402969062,0.47241786767608485,0.2638201805386212,0.55844666044577,0.10878148288441289,0.02053208155682096,0.36363638479167193,0.24328809898180026,1.1345008208994216,-0.4840299554512632,0.7655970157658886
Llama-3.1-8B-Instruct,18,pns,Jailbreak_vs_Benign,0.7214743251803615,0.7212695326104636,-0.00020479256989791583,0.5051646586454397,0.3823802241664137,0.7569417567565732,0.14070132744425345,0.1065810186024202,0.36446333120118624,0.2757992055639935,1.0947957998625342,-0.5137516504287267,0.7733051574584208
Llama-3.1-8B-Instruct,18,pns,Jailbreak_vs_Refusal,0.7538994302021385,0.917487432036869,0.16358800183473055,0.6007734880426042,0.35230612747257584,0.5864208965352876,0.14785069772673362,0.029069683286908427,0.45292279031587057,0.32323644418566744,1.0947957998625342,-0.5137516504287267,0.7733051574584208
Llama-3.1-8B-Instruct,20,pns,Jailbreak_vs_Benign,0.7371855189224035,0.7224962823255843,-0.0146892365968192,0.5480661038724266,0.40869994883727634,0.7457128728625214,0.1440397086854519,0.1134157552156877,0.4040263951869747,0.29528419362158864,0.7850229531252096,-0.5632944162695401,0.7648970321231503
Llama-3.1-8B-Instruct,20,pns,Jailbreak_vs_Refusal,0.662771341500104,0.9268441372871147,0.2640727957870107,0.7681931981453903,0.40720899858043447,0.5300867015791579,0.2590567616793148,0.02978972559560176,0.5091364364660755,0.3774192729848327,0.7850229531252096,-0.5632944162695401,0.7648970321231503
